Date,Indonesia.1,India,Thailand,South_Africa,Hungary,Mexico,Poland
3/6/2011,21.10694184,184.66,57.89,108.619,203.2327384,-64.19288293,126.4547135
6/6/2011,111.5940327,-184.62,11.78,95.806,416.7146484,307.4721332,-48.20376914
7/6/2011,61.08304945,188.44,106.18,226.431,15.16233874,368.0008532,-116.0164118
8/6/2011,56.37110981,-5.19,-77.43,752.324,363.5829013,271.8774303,-731.4006274
9/6/2011,613.7777256,-109.44,-159.99,134.966,-85.88529104,-222.8615091,-191.0699831
10/6/2011,-613.8497653,62.44,3.29,-191.54,-112.2932603,175.2238869,1106.49379
13/6/2011,972.7262086,226.71,-81.59,0.147,0,324.3119305,591.2613174
14/6/2011,76.16592454,-46.69,47.41,-15.382,-92.21972262,-861.2060771,488.3160755
15/6/2011,-25.73701451,-34.95,11.2,-250.175,111.1749906,349.7379391,700.8661276
16/6/2011,90.71877181,-52.97,14.19,0,-4.228951256,-3085.675416,-139.1206675
17/6/2011,77.83457249,22.93,8.69,40.572,21.8964953,694.6227255,-322.0955327
20/6/2011,-149.6867023,-149.6,14.16,59.737,-39.5402791,-500.6698524,-232.6589181
21/6/2011,-104.6389955,115.67,25.33,412.19,-3.409371478,1127.009916,-620.6871583
22/6/2011,-228.0926335,-126.11,81.74,-40.541,367.7064116,132.9678928,-114.1498216
23/6/2011,-54.65116279,39.89,230.23,250.242,29.63757389,-1049.031179,0.285622478
24/6/2011,124.4330736,112.6,223.67,-21.741,72.53941267,937.2702011,-360.1863707
27/6/2011,131.04488,135.61,189.73,268.998,-89.25506222,201.0265766,124.832982
28/6/2011,-22.03409486,-103.15,149.78,-127.311,-29.31518213,844.7843946,-289.1309801
29/6/2011,0,-239.33,-25.62,242.438,18.69195279,165.120734,78.04012457
30/6/2011,-22.14710339,0,197.54,14.349,-86.31424832,-1165.920106,589.633924
