,period,variable,value
639,2013-03-14,Short Term,9.257419868
640,2013-03-15,Short Term,9.211627816
641,2013-03-18,Short Term,8.843315998
642,2013-03-19,Short Term,9.401260531
643,2013-03-20,Short Term,9.788558675
644,2013-03-21,Short Term,9.954523464
645,2013-03-22,Short Term,9.493175401
646,2013-03-25,Short Term,9.34328389
647,2013-03-26,Short Term,9.187715188
648,2013-03-27,Short Term,9.936311684
649,2013-03-28,Short Term,10.03801416
650,2013-03-29,Short Term,10.46150246
651,2013-04-01,Short Term,10.99256234
652,2013-04-02,Short Term,11.00440158
653,2013-04-03,Short Term,11.42992744
654,2013-04-04,Short Term,13.54524217
655,2013-04-05,Short Term,12.81377685
656,2013-04-08,Short Term,10.06276721
657,2013-04-09,Short Term,10.0738964
658,2013-04-10,Short Term,10.02553441
659,2013-04-11,Short Term,10.34395254
660,2013-04-12,Short Term,10.51828198
661,2013-04-15,Short Term,9.992525284
662,2013-04-16,Short Term,9.694684431
663,2013-04-17,Short Term,9.823630224
664,2013-04-18,Short Term,9.719464798
665,2013-04-19,Short Term,9.962941104
666,2013-04-22,Short Term,9.857643282
667,2013-04-23,Short Term,10.06899651
668,2013-04-24,Short Term,10.01683407
669,2013-04-25,Short Term,9.92237286
670,2013-04-26,Short Term,10.21007253
671,2013-04-29,Short Term,10.3241295
672,2013-04-30,Short Term,10.11099137
673,2013-05-01,Short Term,9.926961443
674,2013-05-02,Short Term,10.27553704
675,2013-05-03,Short Term,10.73231931
676,2013-05-06,Short Term,11.20664263
677,2013-05-07,Short Term,10.90740994
678,2013-05-08,Short Term,10.48099911
679,2013-05-09,Short Term,10.12683961
680,2013-05-10,Short Term,10.20110103
681,2013-05-13,Short Term,10.14114252
682,2013-05-14,Short Term,10.04014959
683,2013-05-15,Short Term,9.133874883
684,2013-05-16,Short Term,9.011192606
685,2013-05-17,Short Term,9.532268266
686,2013-05-20,Short Term,9.966970516
687,2013-05-21,Short Term,9.737298203
688,2013-05-22,Short Term,9.434250158
689,2013-05-23,Short Term,9.509833936
690,2013-05-24,Short Term,9.440148008
691,2013-05-28,Short Term,8.162496198
692,2013-05-29,Short Term,8.299756472
693,2013-05-30,Short Term,9.316226272
694,2013-05-31,Short Term,8.756309919
695,2013-06-03,Short Term,8.861288223
696,2013-06-04,Short Term,9.316496838
697,2013-06-05,Short Term,9.201282707
